,du-id,measTimeStampRf,nrCellIdentity,throughput,x,y,availPrbDl,availPrbUl,measPeriodPrb,pdcpBytesUl,pdcpBytesDl,measPeriodPdcpBytes
0,1001,2021-07-02T13:09:28.328,c1/B2,0,0,0,273,273,10,0,0,10
1,1001,2021-07-02T13:09:28.328,c1/B13,0.285044461,0,0,75,75,10,34795,34795,10
2,1001,2021-07-02T13:09:28.328,c1/N77,0,0,0,100,100,10,0,0,10
3,1002,2021-07-02T13:09:28.328,c2/B2,0,-832,-555,273,273,10,0,0,10
4,1002,2021-07-02T13:09:28.328,c2/B13,0,-832,-555,100,100,10,0,0,10
5,1002,2021-07-02T13:09:28.328,c2/N77,0.928367376,-832,-555,273,273,10,113326,113326,10
6,1003,2021-07-02T13:09:28.328,c3/B2,0,-139,-1109,100,100,10,0,0,10
7,1003,2021-07-02T13:09:28.328,c3/B13,0.356365412,-139,-1109,75,75,10,43501,43501,10
8,1003,2021-07-02T13:09:28.328,c3/N77,0.27233991,-139,-1109,100,100,10,33244,33244,10
9,1004,2021-07-02T13:09:28.328,c4/B2,0,832,-555,273,273,10,0,0,10
10,1004,2021-07-02T13:09:28.328,c4/B13,0,832,-555,100,100,10,0,0,10
11,1004,2021-07-02T13:09:28.328,c4/N77,0,832,-555,75,75,10,0,0,10
12,1005,2021-07-02T13:09:28.328,c5/B2,0.367892027,832,555,75,75,10,44908,44908,10
13,1005,2021-07-02T13:09:28.328,c5/B13,0,832,555,75,75,10,0,0,10
14,1005,2021-07-02T13:09:28.328,c5/N77,0.75,832,555,273,273,10,91552,91552,10
15,1006,2021-07-02T13:09:28.328,c6/B2,1.178766727,0,1109,273,273,10,143892,143892,10
16,1006,2021-07-02T13:09:28.328,c6/B13,0,0,1109,100,100,10,0,0,10
17,1006,2021-07-02T13:09:28.328,c6/N77,0,0,1109,100,100,10,0,0,10
18,1007,2021-07-02T13:09:28.328,c7/B2,0,-832,555,273,273,10,0,0,10
19,1007,2021-07-02T13:09:28.328,c7/B13,0.296963155,-832,555,100,100,10,36250,36250,10
20,1007,2021-07-02T13:09:28.328,c7/N77,0.314637363,-832,555,75,75,10,38407,38407,10
21,1008,2021-07-02T13:09:28.328,c8/B2,0.317466021,-1664,0,100,100,10,38753,38753,10
22,1008,2021-07-02T13:09:28.328,c8/B13,0.912792444,-1664,0,273,273,10,111424,111424,10
23,1008,2021-07-02T13:09:28.328,c8/N77,0.241033822,-1664,0,100,100,10,29423,29423,10
24,1009,2021-07-02T13:09:28.328,c9/B2,0.23454313,-1941,-1109,75,75,10,28630,28630,10
25,1009,2021-07-02T13:09:28.328,c9/B13,0.273161173,-1941,-1109,75,75,10,33344,33344,10
26,1009,2021-07-02T13:09:28.328,c9/N77,0.332467854,-1941,-1109,75,75,10,40584,40584,10
27,1010,2021-07-02T13:09:28.328,c10/B2,0,-1109,-1664,75,75,10,0,0,10
28,1010,2021-07-02T13:09:28.328,c10/B13,0.75,-1109,-1664,273,273,10,91552,91552,10
29,1010,2021-07-02T13:09:28.328,c10/N77,0.5,-1109,-1664,273,273,10,61035,61035,10
30,1011,2021-07-02T13:09:28.328,c11/B2,0,0,-2219,100,100,10,0,0,10
31,1011,2021-07-02T13:09:28.328,c11/B13,0,0,-2219,75,75,10,0,0,10
32,1011,2021-07-02T13:09:28.328,c11/N77,0.949999988,0,-2219,273,273,10,115966,115966,10
33,1012,2021-07-02T13:09:28.328,c12/B2,0,832,-1664,100,100,10,0,0,10
34,1012,2021-07-02T13:09:28.328,c12/B13,0,832,-1664,273,273,10,0,0,10
